aircraft_id,aircraft_type,manufacturer,engine_type,seating_capacity,fuel_capacity_liters,emissions_rate_co2_km,maintenance_cycle_days,in_service_date,warranty_expiry_date
AIR047,CRJ900,Embraer,Turbofan,221,33994.24,2.98,99,2023-07-02,2026-03-30
AIR048,B787,Embraer,Turbojet,113,155860.41,2.91,155,2019-01-21,2029-10-07
AIR049,B767,Embraer,Geared Turbofan,103,10097.12,2.97,158,2016-12-07,2027-03-03
AIR050,B747,ATR,Turbojet,235,84904.16,3.05,91,2015-12-27,2029-10-19
AIR051,B777,Embraer,Geared Turbofan,172,177323.32,3.82,34,2017-11-19,2028-08-25
AIR052,A320,Boeing,High Bypass Turbofan,159,57505.4,3.12,93,2019-05-31,2026-02-27
AIR053,A320,Bombardier,Geared Turbofan,108,97068.98,2.14,88,2018-04-21,2027-05-22
AIR054,CRJ900,Airbus,Turbojet,124,25072.25,3.85,65,2017-01-02,2027-10-07
AIR055,A330,Boeing,Turbojet,252,149555.83,3.56,74,2019-07-19,2027-10-13
AIR056,E190,Embraer,Geared Turbofan,105,125362.35,3.06,177,2022-08-20,2026-12-28
AIR057,A321,ATR,Geared Turbofan,335,168928.03,1.57,139,2021-02-17,2029-04-28
AIR058,B777,Boeing,High Bypass Turbofan,107,63253.28,2.0,47,2023-11-21,2027-09-19
AIR059,A330,Boeing,Turbofan,215,112910.21,2.35,109,2022-05-28,2026-06-11
AIR060,B757,Airbus,High Bypass Turbofan,108,143365.54,2.41,162,2017-02-01,2026-03-13
AIR061,E190,Bombardier,High Bypass Turbofan,192,90845.61,2.85,175,2020-06-06,2028-10-08
AIR062,CRJ900,Airbus,Geared Turbofan,260,49727.59,3.06,83,2016-12-18,2028-04-16
AIR063,B747,ATR,High Bypass Turbofan,113,166096.4,2.02,75,2018-03-19,2027-11-14
AIR064,A320,Embraer,Turboprop,208,61664.02,3.66,53,2017-07-29,2029-11-29
AIR065,E175,Embraer,Turboprop,221,119442.18,2.08,49,2018-08-16,2029-04-28
AIR066,B767,Boeing,Turbofan,178,14161.42,2.59,99,2019-05-29,2028-05-10
AIR067,B757,Bombardier,High Bypass Turbofan,186,14672.53,3.83,56,2022-02-08,2025-08-15
AIR068,A350,ATR,Turbojet,345,156979.9,2.83,49,2020-10-05,2028-04-21
AIR069,CRJ900,Boeing,Turbojet,223,84520.6,3.52,160,2020-09-23,2026-01-11
AIR070,CRJ900,Embraer,Turboprop,322,102370.08,3.47,37,2015-11-16,2030-05-10
AIR071,B757,Embraer,High Bypass Turbofan,101,193557.64,1.94,140,2017-05-22,2029-02-08
AIR072,B747,Airbus,Turbofan,300,87878.24,2.2,47,2024-04-26,2029-06-06
AIR073,E175,ATR,Turbojet,335,139312.37,3.5,106,2020-07-02,2025-08-02
AIR074,B757,Bombardier,Geared Turbofan,213,184581.44,1.87,106,2019-09-28,2028-05-19
AIR075,A320,Airbus,High Bypass Turbofan,200,136066.66,3.63,49,2019-10-07,2027-11-13
AIR076,B787,ATR,Turboprop,231,96675.44,2.62,108,2019-01-23,2027-04-21
AIR077,E175,Bombardier,Turbofan,143,95123.7,3.12,113,2019-11-12,2026-01-07
AIR078,A320,Boeing,High Bypass Turbofan,175,19567.75,2.84,31,2022-08-10,2026-04-29
AIR079,B747,Embraer,Turboprop,330,105771.99,2.71,103,2016-09-10,2030-07-06
AIR080,B777,Embraer,Turbofan,295,126767.26,2.79,171,2018-11-12,2028-09-14
AIR081,B757,Embraer,High Bypass Turbofan,225,60624.92,1.92,146,2020-05-28,2029-03-07
AIR082,CRJ900,Boeing,Turbojet,139,181687.73,3.92,172,2021-11-11,2027-09-12
AIR083,E190,ATR,Geared Turbofan,236,140308.4,2.28,43,2022-11-08,2029-11-22
AIR084,CRJ900,ATR,Turbofan,318,160379.68,2.73,61,2016-04-08,2027-11-29
AIR085,A321,Boeing,Geared Turbofan,301,162414.68,1.61,67,2017-02-25,2027-11-18
AIR086,E190,Boeing,Turboprop,164,180953.64,3.27,148,2023-06-04,2028-10-06
AIR087,A321,Airbus,Geared Turbofan,249,127240.0,1.55,69,2017-05-16,2028-12-30
AIR088,B747,Embraer,Turbojet,159,183499.06,2.31,97,2019-09-26,2027-02-17
AIR089,A321,Embraer,Turboprop,224,196422.04,2.71,62,2019-09-22,2028-09-06
AIR090,B777,Bombardier,Turbofan,215,136063.98,1.87,74,2020-10-18,2030-06-21
AIR091,B737,Embraer,High Bypass Turbofan,232,179663.8,3.17,80,2017-08-14,2026-07-16
AIR092,B737,Embraer,Turbofan,122,53347.55,2.35,169,2021-01-25,2028-08-18
AIR093,B757,Airbus,Turbofan,209,75375.07,2.15,146,2016-09-10,2029-09-26
AIR094,B787,ATR,High Bypass Turbofan,263,181426.26,3.05,178,2019-01-28,2028-11-26
AIR095,B767,Bombardier,Turboprop,242,103558.7,3.8,61,2021-09-08,2027-03-26
AIR096,CRJ900,Airbus,Turboprop,224,113036.34,1.87,154,2020-06-10,2028-04-22
AIR097,CRJ900,Boeing,High Bypass Turbofan,142,136791.91,1.52,120,2024-05-19,2027-04-14
AIR098,E175,ATR,Geared Turbofan,161,68299.02,2.43,149,2023-04-18,2025-09-02
AIR099,A321,Airbus,Turboprop,271,172036.36,2.39,52,2017-03-17,2028-03-12
AIR100,E175,Bombardier,Geared Turbofan,284,144350.48,3.82,106,2015-09-25,2027-08-01
